PREFECTURES_ID,PREFECTURES_JP_NAME,PREFECTURES_EN_NAME,PREFECTURES_MARK
JP_P_001,北海道,HOKKAIDO,
JP_P_002,青森,AOMORI,県
JP_P_003,岩手,IWATE,県
JP_P_004,宮城,MIYAGI,県
JP_P_005,秋田,AKITA,県
JP_P_006,山形,YAMAGATA,県
JP_P_007,福島,FUKUSHIMA,県
JP_P_008,茨城,IBARAKI,県
JP_P_009,栃木,TOCHIGI,県
JP_P_010,群馬,GUNMA,県
JP_P_011,埼玉,SAITAMA,県
JP_P_012,千葉,CHIBA,県
JP_P_013,東京,TOKYO,都
JP_P_014,神奈川,KANAGAWA,県
JP_P_015,新潟,NIIGATA,県
JP_P_016,富山,TOYAMA,県
JP_P_017,石川,ISHIKAWA,県
JP_P_018,福井,FUKUI,県
JP_P_019,山梨,YAMANASHI,県
JP_P_020,長野,NAGANO,県
JP_P_021,岐阜,GIFU,県
JP_P_032,静岡,SHIZUOKA,県
JP_P_033,愛知,AICHI,県
JP_P_034,三重,MIE,県
JP_P_035,滋賀,SHIGA,県
JP_P_036,京都,KYOTO,都
JP_P_037,大阪,OSAKA,都
JP_P_038,兵庫,HYOGO,県
JP_P_039,奈良,NARA,県
JP_P_030,和歌山,WAKAYAMA,県
JP_P_031,鳥取,TOTTORI,県
JP_P_032,島根,SHIMANE,県
JP_P_033,岡山,OKAYAMA,県
JP_P_034,広島,HIROSHIMA,県
JP_P_035,山口,YAMAGUCHI,県
JP_P_036,徳島,TOKUSHIMA,県
JP_P_037,香川,KAGAWA,県
JP_P_038,愛媛,EHIME,県
JP_P_039,高知,KOCHI,県
JP_P_040,福岡,FUKUOKA,県
JP_P_041,佐賀,SAGA,県
JP_P_042,長崎,NAGASAKI,県
JP_P_043,熊本,KUMAMOTO,県
JP_P_044,大分,OITA,県
JP_P_045,宮崎,MIYAZAKI,県
JP_P_046,鹿児島,KAGOSHIMA,県
JP_P_047,沖縄,OKINAWA,県





